,accession,tax_id,organism_name,download_url
33,GCF_000836805.1,90963,Chlamydia phage CPG1,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000836805.1/download?include_annotation_type=GENOME_FASTA&filename=Chlamydia_phage_CPG1.zip
34,GCF_000863085.1,31744,Rice yellow mottle virus,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000863085.1/download?include_annotation_type=GENOME_FASTA&filename=Rice_yellow_mottle_virus.zip
35,GCF_000862445.1,12558,Sesbania mosaic virus,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000862445.1/download?include_annotation_type=GENOME_FASTA&filename=Sesbania_mosaic_virus.zip
36,GCF_000853245.1,59816,Yellowtail ascites virus,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000853245.1/download?include_annotation_type=GENOME_FASTA&filename=Yellowtail_ascites_virus.zip
37,GCF_000856665.10,11553,Influenza C virus (C/Ann Arbor/1/50),https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000856665.10/download?include_annotation_type=GENOME_FASTA&filename=Influenza_C_virus_(C/Ann_Arbor/1/50).zip
38,GCF_000851485.1,154834,Panicum mosaic satellite virus,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000851485.1/download?include_annotation_type=GENOME_FASTA&filename=Panicum_mosaic_satellite_virus.zip
39,GCF_000005845.2,511145,Escherichia coli str. K-12 substr. MG1655,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000005845.2/download?include_annotation_type=GENOME_FASTA&filename=Escherichia_coli_str._K-12_substr._MG1655.zip
40,GCF_000008865.2,386585,Escherichia coli O157:H7 str. Sakai,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000008865.2/download?include_annotation_type=GENOME_FASTA&filename=Escherichia_coli_O157:H7_str._Sakai.zip
41,GCF_000146045.2,559292,Saccharomyces cerevisiae S288C,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000146045.2/download?include_annotation_type=GENOME_FASTA&filename=Saccharomyces_cerevisiae_S288C.zip
42,GCF_000002985.6,6239,Caenorhabditis elegans,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000002985.6/download?include_annotation_type=GENOME_FASTA&filename=Caenorhabditis_elegans.zip
43,GCF_000006765.1,208964,Pseudomonas aeruginosa PAO1,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000006765.1/download?include_annotation_type=GENOME_FASTA&filename=Pseudomonas_aeruginosa_PAO1.zip
44,GCF_000013425.1,93061,Staphylococcus aureus subsp. aureus NCTC 8325,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000013425.1/download?include_annotation_type=GENOME_FASTA&filename=Staphylococcus_aureus_subsp._aureus_NCTC_8325.zip
45,GCF_000240185.1,1125630,Klebsiella pneumoniae subsp. pneumoniae HS11286,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000240185.1/download?include_annotation_type=GENOME_FASTA&filename=Klebsiella_pneumoniae_subsp._pneumoniae_HS11286.zip
46,GCF_000196035.1,169963,Listeria monocytogenes EGD-e,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000196035.1/download?include_annotation_type=GENOME_FASTA&filename=Listeria_monocytogenes_EGD-e.zip
47,GCF_000009085.1,192222,Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000009085.1/download?include_annotation_type=GENOME_FASTA&filename=Campylobacter_jejuni_subsp._jejuni_NCTC_11168_=_ATCC_700819.zip
48,GCF_000865085.1,335341,Influenza A virus (A/New York/392/2004(H3N2)),https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000865085.1/download?include_annotation_type=GENOME_FASTA&filename=Influenza_A_virus_(A/New_York/392/2004(H3N2)).zip
49,GCF_000866645.1,488241,Influenza A virus (A/Korea/426/1968(H2N2)),https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000866645.1/download?include_annotation_type=GENOME_FASTA&filename=Influenza_A_virus_(A/Korea/426/1968(H2N2)).zip
50,GCF_000928555.1,1332244,Influenza A virus (A/Shanghai/02/2013(H7N9)),https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000928555.1/download?include_annotation_type=GENOME_FASTA&filename=Influenza_A_virus_(A/Shanghai/02/2013(H7N9)).zip
51,GCF_001343785.1,641809,Influenza A virus (A/California/07/2009(H1N1)),https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_001343785.1/download?include_annotation_type=GENOME_FASTA&filename=Influenza_A_virus_(A/California/07/2009(H1N1)).zip
52,GCF_000006925.2,198214,Shigella flexneri 2a str. 301,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000006925.2/download?include_annotation_type=GENOME_FASTA&filename=Shigella_flexneri_2a_str._301.zip
53,GCF_000191145.1,871585,Acinetobacter pittii PHEA-2,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000191145.1/download?include_annotation_type=GENOME_FASTA&filename=Acinetobacter_pittii_PHEA-2.zip
54,GCF_000022005.1,565050,Caulobacter vibrioides NA1000,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000022005.1/download?include_annotation_type=GENOME_FASTA&filename=Caulobacter_vibrioides_NA1000.zip
55,GCF_000008725.1,272561,Chlamydia trachomatis D/UW-3/CX,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000008725.1/download?include_annotation_type=GENOME_FASTA&filename=Chlamydia_trachomatis_D/UW-3/CX.zip
56,GCF_000007765.2,227377,Coxiella burnetii RSA 493,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000007765.2/download?include_annotation_type=GENOME_FASTA&filename=Coxiella_burnetii_RSA_493.zip
57,GCF_000868425.1,1246677,Norovirus GV,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000868425.1/download?include_annotation_type=GENOME_FASTA&filename=Norovirus_GV.zip
58,GCF_001610725.1,64318,Spondweni virus,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_001610725.1/download?include_annotation_type=GENOME_FASTA&filename=Spondweni_virus.zip
59,GCF_000862405.1,2847087,GB virus-B,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000862405.1/download?include_annotation_type=GENOME_FASTA&filename=GB_virus-B.zip
60,GCF_000880355.1,548915,Tomato leaf curl Kumasi virus,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000880355.1/download?include_annotation_type=GENOME_FASTA&filename=Tomato_leaf_curl_Kumasi_virus.zip
61,GCF_000874105.1,454128,Okra leaf curl Mali virus satellite DNA beta,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000874105.1/download?include_annotation_type=GENOME_FASTA&filename=Okra_leaf_curl_Mali_virus_satellite_DNA_beta.zip
62,GCF_000839085.1,195056,Rice yellow mottle virus satellite,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000839085.1/download?include_annotation_type=GENOME_FASTA&filename=Rice_yellow_mottle_virus_satellite.zip
63,GCF_000001735.4,3702,Arabidopsis thaliana,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000001735.4/download?include_annotation_type=GENOME_FASTA&filename=Arabidopsis_thaliana.zip
64,GCF_000001405.40,9606,Homo sapiens,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000001405.40/download?include_annotation_type=GENOME_FASTA&filename=Homo_sapiens.zip
65,GCF_000001635.27,10090,Mus musculus,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000001635.27/download?include_annotation_type=GENOME_FASTA&filename=Mus_musculus.zip
66,GCF_000001215.4,7227,Drosophila melanogaster,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000001215.4/download?include_annotation_type=GENOME_FASTA&filename=Drosophila_melanogaster.zip
67,GCF_000002035.6,7955,Danio rerio,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000002035.6/download?include_annotation_type=GENOME_FASTA&filename=Danio_rerio.zip
68,GCF_000844925.1,97081,Enterobacteria phage VT2-Sakai,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000844925.1/download?include_annotation_type=GENOME_FASTA&filename=Enterobacteria_phage_VT2-Sakai.zip
69,GCF_000412675.1,1211579,Pseudomonas putida NBRC 14164,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000412675.1/download?include_annotation_type=GENOME_FASTA&filename=Pseudomonas_putida_NBRC_14164.zip
70,GCF_006094375.1,1282,Staphylococcus epidermidis,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_006094375.1/download?include_annotation_type=GENOME_FASTA&filename=Staphylococcus_epidermidis.zip
71,GCF_000196555.1,565042,Bifidobacterium longum subsp. longum JCM 1217,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000196555.1/download?include_annotation_type=GENOME_FASTA&filename=Bifidobacterium_longum_subsp._longum_JCM_1217.zip
72,GCF_000007125.1,224914,Brucella melitensis bv. 1 str. 16M,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000007125.1/download?include_annotation_type=GENOME_FASTA&filename=Brucella_melitensis_bv._1_str._16M.zip
73,GCF_003013715.1,498019,[Candida] auris,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_003013715.1/download?include_annotation_type=GENOME_FASTA&filename=[Candida]_auris.zip
74,GCF_000832905.1,1121088,Heyndrickxia coagulans DSM 1 = ATCC 7050,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000832905.1/download?include_annotation_type=GENOME_FASTA&filename=Heyndrickxia_coagulans_DSM_1_=_ATCC_7050.zip
75,GCF_019048385.1,549,Pantoea agglomerans,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_019048385.1/download?include_annotation_type=GENOME_FASTA&filename=Pantoea_agglomerans.zip
76,GCF_000010505.1,431947,Porphyromonas gingivalis ATCC 33277,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000010505.1/download?include_annotation_type=GENOME_FASTA&filename=Porphyromonas_gingivalis_ATCC_33277.zip
77,GCF_001888925.1,1217420,Lactobacillus delbrueckii subsp. jakobsenii ZN7a-9 = DSM 26046,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_001888925.1/download?include_annotation_type=GENOME_FASTA&filename=Lactobacillus_delbrueckii_subsp._jakobsenii_ZN7a-9_=_DSM_26046.zip
78,GCF_014131755.1,818,Bacteroides thetaiotaomicron,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_014131755.1/download?include_annotation_type=GENOME_FASTA&filename=Bacteroides_thetaiotaomicron.zip
79,GCF_016026695.1,1363,Lactococcus garvieae,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_016026695.1/download?include_annotation_type=GENOME_FASTA&filename=Lactococcus_garvieae.zip
80,GCF_900560965.1,1124983,Pseudomonas protegens CHA0,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_900560965.1/download?include_annotation_type=GENOME_FASTA&filename=Pseudomonas_protegens_CHA0.zip
81,GCF_001729805.1,1812935,Enterobacter roggenkampii,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_001729805.1/download?include_annotation_type=GENOME_FASTA&filename=Enterobacter_roggenkampii.zip
82,GCF_000146165.2,211586,Shewanella oneidensis MR-1,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000146165.2/download?include_annotation_type=GENOME_FASTA&filename=Shewanella_oneidensis_MR-1.zip
83,GCF_018223745.1,1520,Clostridium beijerinckii,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_018223745.1/download?include_annotation_type=GENOME_FASTA&filename=Clostridium_beijerinckii.zip
84,GCF_000829055.1,1423732,Lacticaseibacillus casei DSM 20011 = JCM 1134 = ATCC 393,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000829055.1/download?include_annotation_type=GENOME_FASTA&filename=Lacticaseibacillus_casei_DSM_20011_=_JCM_1134_=_ATCC_393.zip
85,GCF_002023665.2,1246994,Elizabethkingia anophelis R26,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_002023665.2/download?include_annotation_type=GENOME_FASTA&filename=Elizabethkingia_anophelis_R26.zip
86,GCF_000091545.1,300852,Thermus thermophilus HB8,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000091545.1/download?include_annotation_type=GENOME_FASTA&filename=Thermus_thermophilus_HB8.zip
87,GCF_003019295.1,190304,Fusobacterium nucleatum subsp. nucleatum ATCC 25586,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_003019295.1/download?include_annotation_type=GENOME_FASTA&filename=Fusobacterium_nucleatum_subsp._nucleatum_ATCC_25586.zip
88,GCF_001750725.1,299767,Enterobacter ludwigii,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_001750725.1/download?include_annotation_type=GENOME_FASTA&filename=Enterobacter_ludwigii.zip
89,GCF_003641185.1,1589,Lactiplantibacillus pentosus,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_003641185.1/download?include_annotation_type=GENOME_FASTA&filename=Lactiplantibacillus_pentosus.zip
90,GCF_000007505.1,204722,Brucella suis 1330,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000007505.1/download?include_annotation_type=GENOME_FASTA&filename=Brucella_suis_1330.zip
91,GCF_000083545.1,661410,Methylorubrum extorquens DM4,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000083545.1/download?include_annotation_type=GENOME_FASTA&filename=Methylorubrum_extorquens_DM4.zip
92,GCF_004101845.1,1293592,Latilactobacillus curvatus JCM 1096 = DSM 20019,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_004101845.1/download?include_annotation_type=GENOME_FASTA&filename=Latilactobacillus_curvatus_JCM_1096_=_DSM_20019.zip
93,GCF_900637025.1,655813,Streptococcus oralis ATCC 35037,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_900637025.1/download?include_annotation_type=GENOME_FASTA&filename=Streptococcus_oralis_ATCC_35037.zip
94,GCF_000204255.1,331636,Chlamydia psittaci 6BC,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000204255.1/download?include_annotation_type=GENOME_FASTA&filename=Chlamydia_psittaci_6BC.zip
95,GCF_001558415.2,676,Vibrio fluvialis,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_001558415.2/download?include_annotation_type=GENOME_FASTA&filename=Vibrio_fluvialis.zip
96,GCF_004799605.1,2242,Halobacterium salinarum,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_004799605.1/download?include_annotation_type=GENOME_FASTA&filename=Halobacterium_salinarum.zip
97,GCF_002706795.1,1121121,Brevibacillus laterosporus DSM 25,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_002706795.1/download?include_annotation_type=GENOME_FASTA&filename=Brevibacillus_laterosporus_DSM_25.zip
98,GCF_000236925.1,985002,Staphylococcus argenteus,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000236925.1/download?include_annotation_type=GENOME_FASTA&filename=Staphylococcus_argenteus.zip
99,GCF_003054445.1,4909,Pichia kudriavzevii,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_003054445.1/download?include_annotation_type=GENOME_FASTA&filename=Pichia_kudriavzevii.zip
100,GCF_000007985.2,243231,Geobacter sulfurreducens PCA,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000007985.2/download?include_annotation_type=GENOME_FASTA&filename=Geobacter_sulfurreducens_PCA.zip
101,GCF_000007805.1,223283,Pseudomonas syringae pv. tomato str. DC3000,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000007805.1/download?include_annotation_type=GENOME_FASTA&filename=Pseudomonas_syringae_pv._tomato_str._DC3000.zip
102,GCF_020097475.1,564,Escherichia fergusonii,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_020097475.1/download?include_annotation_type=GENOME_FASTA&filename=Escherichia_fergusonii.zip
103,GCF_020546685.1,243230,Deinococcus radiodurans R1 = ATCC 13939 = DSM 20539,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_020546685.1/download?include_annotation_type=GENOME_FASTA&filename=Deinococcus_radiodurans_R1_=_ATCC_13939_=_DSM_20539.zip
104,GCF_000025685.1,309800,Haloferax volcanii DS2,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000025685.1/download?include_annotation_type=GENOME_FASTA&filename=Haloferax_volcanii_DS2.zip
105,GCF_900660465.1,2104,Mycoplasmoides pneumoniae,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_900660465.1/download?include_annotation_type=GENOME_FASTA&filename=Mycoplasmoides_pneumoniae.zip
106,GCF_000697965.2,106592,Ensifer adhaerens,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000697965.2/download?include_annotation_type=GENOME_FASTA&filename=Ensifer_adhaerens.zip
107,GCF_002813755.1,53346,Enterococcus mundtii,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_002813755.1/download?include_annotation_type=GENOME_FASTA&filename=Enterococcus_mundtii.zip
108,GCF_900637055.1,1393,Brevibacillus brevis,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_900637055.1/download?include_annotation_type=GENOME_FASTA&filename=Brevibacillus_brevis.zip
109,GCF_019916025.1,1490,Paraclostridium bifermentans,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_019916025.1/download?include_annotation_type=GENOME_FASTA&filename=Paraclostridium_bifermentans.zip
110,GCF_900637845.1,1648,Erysipelothrix rhusiopathiae,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_900637845.1/download?include_annotation_type=GENOME_FASTA&filename=Erysipelothrix_rhusiopathiae.zip
111,GCF_001456255.1,1219067,Vibrio natriegens NBRC 15636 = ATCC 14048 = DSM 759,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_001456255.1/download?include_annotation_type=GENOME_FASTA&filename=Vibrio_natriegens_NBRC_15636_=_ATCC_14048_=_DSM_759.zip
112,GCF_017724035.1,359387,Xanthomonas euvesicatoria pv. alfalfae,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_017724035.1/download?include_annotation_type=GENOME_FASTA&filename=Xanthomonas_euvesicatoria_pv._alfalfae.zip
113,GCF_001006005.1,47917,Serratia fonticola,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_001006005.1/download?include_annotation_type=GENOME_FASTA&filename=Serratia_fonticola.zip
114,GCF_002945325.1,39152,Methanococcus maripaludis,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_002945325.1/download?include_annotation_type=GENOME_FASTA&filename=Methanococcus_maripaludis.zip
115,GCF_000009765.2,227882,Streptomyces avermitilis MA-4680 = NBRC 14893,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000009765.2/download?include_annotation_type=GENOME_FASTA&filename=Streptomyces_avermitilis_MA-4680_=_NBRC_14893.zip
